14	1
16	1
17	1
19	1
21	1
22	1
23	1
28	1
30	0
31	0
32	1
33	1
34	1
35	1
36	1
40	1
66	1
70	1
73	1
74	1
75	1
76	1
78	1
79	1
82	1
83	1
85	1
87	1
88	0
89	1
90	0
91	1
92	1
96	1
97	1
98	1
99	1
100	1
103	1
104	1
105	1
106	0
107	1
109	0
110	1
111	1
112	1
113	1
115	1
116	1
118	1
119	1
120	1
121	1
124	1
125	1
126	1
128	1
129	1
130	1
131	1
132	1
133	1
135	1
136	1
137	1
141	1
142	1
148	0
149	1
152	1
153	0
154	0
155	0
158	1
160	1
177	1
179	0
181	1
185	1
191	1
193	1
210	1
217	1
293	0
294	0
295	0
296	0
297	1
300	1
301	1
384	1
385	0
387	0
388	1
389	1
390	1
395	1
397	1
398	0
399	0
400	1
401	0
402	0
