14	0
16	0
17	0
19	0
21	0
22	0
23	0
28	0
30	1
31	1
32	0
33	0
34	0
35	0
36	0
40	0
66	0
70	0
73	0
74	0
75	0
76	0
78	0
79	0
82	0
83	0
85	0
87	0
88	1
89	0
90	1
91	0
92	0
96	0
97	0
98	0
99	0
100	0
103	0
104	0
105	0
106	1
107	0
109	1
110	0
111	0
112	0
113	0
115	0
116	0
118	0
119	0
120	0
121	0
124	0
125	0
126	0
128	0
129	0
130	0
131	0
132	0
133	0
135	0
136	0
137	0
141	0
142	0
148	1
149	0
152	0
153	1
154	1
155	1
158	0
160	0
177	0
179	1
181	0
185	0
191	0
193	0
210	0
217	0
293	1
294	1
295	1
296	1
297	0
300	0
301	0
384	0
385	1
387	1
388	0
389	0
390	0
395	0
397	0
398	1
399	1
400	0
401	1
402	1
